geometry,name
POINT (29.3393499999946 40.8772610005344),33
POINT (29.3771220383948 40.9157550242331),33
POINT (29.3188819602421 40.8694650289863),33
POINT (29.3905259999949 40.9467490005455),33
POINT (29.3292839999945 40.8642920005325),33
POINT (29.3438669999945 40.9298230005428),33
POINT (28.8918919773179 41.0010139971924),6
POINT (28.8918239974098 41.001098001579),6
POINT (28.8923159999866 41.0013320005538),6
POINT (28.8917149999866 41.0012840005538),6
POINT (28.8450339585848 40.9914780276081),6
POINT (28.8700540295937 40.9941400302754),6
POINT (28.8379000140098 40.9908329915154),6
POINT (28.8378289893873 40.9906070314053),6
POINT (28.8374169922445 40.9907230187957),6
POINT (28.8375590400025 40.9904549871803),6
POINT (28.8172969999832 40.9640340005475),6
POINT (28.8168190324743 40.9645499897583),6
POINT (28.8525179999852 40.9880590005517),6
POINT (28.820575999984 40.9624880005476),6
POINT (28.7764909999817 40.9763300005497),6
POINT (28.8253579999842 40.9632010005477),6
POINT (28.8759349999858 40.9937780005525),6
POINT (28.800474999983 40.9646250005479),6
POINT (28.8163759999835 41.0450670005608),4
POINT (28.8246709999835 41.0610010005631),4
POINT (29.296855999994 40.9382900005441),26
POINT (29.3156969999944 40.8692990005332),33
POINT (29.3401440013839 40.8642349647301),33
POINT (29.3271119999945 40.8716970005336),33
POINT (29.3267669999945 40.8684880005331),33
POINT (29.3237919999944 40.8753050005341),33
POINT (29.3647659999949 40.8283920005268),33
POINT (29.3660300097883 40.8435389785238),33
POINT (29.3631849999948 40.8482530005299),33
POINT (29.3601129999948 40.8377370005283),33
POINT (29.3210159999945 40.8220500005258),33
POINT (29.0688829999908 41.0777760005663),10
POINT (29.0692769999908 41.0806690005668),10
POINT (29.0699119999908 41.0799380005667),10
POINT (29.0672779999907 41.0836810005673),10
POINT (29.0678069997529 41.0944689627767),10
POINT (29.0660273674773 41.0996357707854),10
POINT (29.0371629617126 41.0926319650401),28
POINT (29.2170630020718 40.9813479713396),27
POINT (29.2576409999935 41.0161540005565),27
POINT (28.7202689858766 40.9778420311398),3
POINT (28.7204339930292 40.9778999711029),3
POINT (28.7205229513353 40.9779169894714),3
POINT (28.6992160174993 41.0113639769354),3
POINT (28.7226080255983 40.9858860315942),3
POINT (28.7223250436481 40.9860379803692),3
POINT (28.7039479999769 41.0361650005591),3
POINT (28.7116229999774 41.0642040005636),3
POINT (28.7252149999783 41.0684140005643),3
POINT (29.3739939999949 40.8885310005362),33
POINT (28.9073860206539 41.0415569847619),8
