PROJE_ASAMA,geometry,is_active
İnşaat Aşamasında,POINT (28.767777836 41.0256154131),0
İnşaat Aşamasında,POINT (28.7697519201 41.0779951936),0
İnşaat Aşamasında,POINT (28.7896032792 41.0346806674),0
İnşaat Aşamasında,POINT (28.7710927915 41.0330831515),0
İnşaat Aşamasında,POINT (28.7951065961 41.1394899577),0
İnşaat Aşamasında,POINT (28.7159766816 41.2069599862),0
İnşaat Aşamasında,POINT (28.7464186818 41.1791811595),0
İnşaat Aşamasında,POINT (28.8165798652 41.0250630721),0
Mevcut Hattaki İstasyon,POINT (28.7904528718 41.1133556519),1
Mevcut Hattaki İstasyon,POINT (28.7778792943 41.103310128),1
Mevcut Hattaki İstasyon,POINT (28.7678710416 41.1073954459),1
Mevcut Hattaki İstasyon,POINT (28.7665088663 41.1195507427),1
İnşaat Aşamasında,POINT (29.0566476314 40.9696400909),0
İnşaat Aşamasında,POINT (29.0969701242 41.026945029),0
İnşaat Aşamasında,POINT (29.1018263781 41.0160294361),0
İnşaat Aşamasında,POINT (29.0921391422 40.9849381944),0
İnşaat Aşamasında,POINT (29.1108510159 40.9993002306),0
İnşaat Aşamasında,POINT (29.077135021 40.9799539217),0
İnşaat Aşamasında,POINT (29.1019676058 41.0305156614),0
İnşaat Aşamasında,POINT (29.1129046309 41.0083402239),0
İnşaat Aşamasında,POINT (29.104065695 40.9906374128),0
İnşaat Aşamasında,POINT (29.0662896028 40.9783502001),0
İnşaat Aşamasında,POINT (29.0987977614 41.0427284001),0
İnşaat Aşamasında,POINT (28.8136035851 41.0560767788),0
Mevcut Hattaki İstasyon,POINT (28.9379603124 41.0455174821),1
